building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
U&I Thonglor,WTN-315,ผจก ลัดดาวัลย์,094-296-2456,1.2,1,8,25,9/11 ซ.พร้อมพรรค ถ.สุขุมวิท 49 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ,-,-,-,เขต,13.737609,100.579034,-,-,-,-,-,,
Bel gravia,KT-106,-,0-2258-3428,1.2,1,7,48,722/49 ถ.สุขุมวิท ซ.สุขุมวิท 30/1 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ,-,-,-,วัฒนา,13.726344,100.573708,-,-,-,-,-,,
Topview,WTN-59,ผจก วรวุฒิ ,"089 9912621 , 02 7141269",2.2,1,38,240,34 ซอยบุญชนะ  สุขุมวิท 59 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ,-,-,-,คลองเตย,13.724716,100.581682,-,-,-,-,-,,
Fortune condo town 2 (ตึก 1-3),YNW-13,ผจก.คุณธนพงศ์,"087-691-8045, 02 674 1132",1.1,3,22,828,481 ถ.สาธุประดิษฐ์ 19 แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ,-,-,-,วัฒนา,13.7010362,100.53622,-,-,-,-,-,,
La maison 25,JJ-55,ผจก หมวย-ผจก สุ, 02 619 2772,1.2,1,9,190,่99 ถนนประดิพัทธ์ แขวงพญาไท เขตพญาไท กรุงเทพฯ,-,-,-,ยานนาวา,13.792286,100.547623,-,-,-,-,-,,
Aspire Rama 9,HK-86,ช่างเต๋า 086-125-2566,0-2641-4511,1.2,2,23,1326,ซอยพระราม 9 แยก 2 ถ.พระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพฯ,-,-,-,พญาไท,13.754672,100.566967,-,-,-,-,-,,
K Line,RTB-6,คุณอัญชลี,092-461-2323,4.1,1,11,130,41/150 ถ.รัตนาธิเบศร์ ซอยเรวดี 11 ต.บางกระสอ อ.เมือง จ.นนทบุรี,-,-,-,ห้วยขวาง,13.858922,100.512133,-,-,-,-,-,,
Plum condo bangyai เฟส 2,BBT-2,ผจก.อนุสรณ์,0-2020-0939,4.1,3,8,675,9 ม.10 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี,-,-,-,เมืองนนทบุรี,13.889527,100.406611,-,-,-,-,-,,
Zenith Place,KT-19,เบอร์ส่วนกลาง  086-340-8551,094-123-2123 (คุณนัยนา),2.2,1,8,134,1747 สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,-,-,-,บางบัวทอง,13.712464,100.595446,-,-,-,-,-,,
โนเบิล โซโล,NK-6,คุณศรีนวล,081-632-8128,3.1,1,10,500,98 หมู่ที่ 7 ถ.เพชรเกษม แขวงหลักสอง เขตหนองแขม กรุงเทพฯ,-,-,-,วัฒนา,13.706443,100.36819,-,-,-,-,-,,
บางใหญ่สแควร์ B1,BY-3,คุณเม,0-2192-0404,4.1,1,7,140,70/4 ม.6 ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี,-,-,-,หนองแขม,13.883262,100.41056,-,-,-,-,-,,
